npi,name,state,billing_state,medicare_paid_2023,medicare_allowed_2023,services_2023,beneficiaries_2023,provider_type,exclusion_source,exclusion_effective_year,post_exclusion_2023_billing,score,leie_lookup_url,sam_lookup_url,nppes_lookup_url
1396067682,"SHAH, AMIT",NY,NY,3792133.47,4757339.07,10809,381,Vascular Surgery,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1396067682
1174592455,"BAR, MORDECHA",NY,NY,663932.91,852081.21,10640,955,Internal Medicine,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1174592455
1194723601,"RENTROP, K",NY,NY,535887.12,677187.94,6067,269,Cardiology,oig_excluded,2023,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1194723601
1154432094,"WEBSTER, THOMAS",NY,WA,408260.75,540828.15,8930,6876,Diagnostic Radiology,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1154432094
1275760100,"HADI, MOHAMMED",NY,NY,376415.89,472006.55,3204,270,Pain Management,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1275760100
1083680003,"MITTAL, NIRANJAN",NY,NY,193721.93,255632.02,1625,433,Cardiology,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1083680003
1861815011,"SALAMACK, ANJA",NY,NY,31964.48,45198.63,594,41,Nurse Practitioner,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1861815011
1053311266,"GIACOPELLI, PAUL",NY,NY,29855.53,37529.79,341,250,Anesthesiology,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1053311266
1992031694,"BALDOVINO, M",NY,NY,27837.81,35924.44,1364,24,Physical Therapist in Private Practice,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1992031694
1952370173,"STEPHAN, WILLIAM",NY,NY,26598.73,37431.85,618,161,Family Practice,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1952370173
1760895122,"PARCON, K",NY,NY,20814.42,26537.7,885,34,Physical Therapist in Private Practice,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1760895122
1720533755,"GARCIA, CARLO",NY,NY,14476.0,18395.14,609,11,Occupational Therapist in Private Practice,oig_excluded,2026,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1720533755
1740440155,"YIU, JOHN",NY,NY,8260.47,13752.95,145,61,Family Practice,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1740440155
1760425458,"BRUTUS, ANDRE",NY,NY,4593.85,6773.41,84,32,Internal Medicine,oig_excluded,2023,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1760425458
1639177918,"BERNARDINI, RONALD",NY,NY,3944.0,6559.08,210,18,Chiropractic,oig_excluded,2024,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1639177918
1265529333,"PADUCH, DARIUS",NY,NY,2435.65,3688.32,31,17,Urology,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1265529333
1184663445,"BAILEY, MICHAEL",NY,NY,1264.67,1336.3,75,39,Nurse Practitioner,oig_excluded,2025,no,1.5,https://exclusions.oig.hhs.gov/,https://sam.gov/search/?index=ex,https://npiregistry.cms.hhs.gov/provider-view/1184663445
