npi,category,taxonomy_code,primary_switch,nppes_deactivated,ndh_role,cms_enrollment_org
1992188387,physician,207Q00000X,Y,,Y,Y
1992189708,chiropractic,111N00000X,Y,,Y,Y
1992189815,physician,207ZP0101X,Y,,Y,Y
1992190086,physician,207L00000X,Y,,Y,Y
1992190110,behavioral-health,103T00000X,Y,,Y,
1992190219,physician,208000000X,Y,,,
1992190300,other-clinical,171100000X,Y,,,
1992191175,physician,207L00000X,Y,,Y,Y
1992192355,behavioral-health,103K00000X,Y,,,
1992192397,behavioral-health,101YP2500X,Y,,,
1992192744,physician,207Q00000X,Y,,Y,Y
1992192751,rehab-therapy,225X00000X,Y,,,
1992193023,behavioral-health,101YM0800X,Y,,,
1992193239,advanced-practice,363LF0000X,Y,,Y,Y
1992193247,rehab-therapy,235Z00000X,Y,,,
1992193536,behavioral-health,103TS0200X,Y,,,
1992193643,advanced-practice,363LA2200X,Y,,Y,Y
1992194013,advanced-practice,367A00000X,Y,,Y,Y
1992195317,rehab-therapy,225200000X,Y,,,
1992196901,advanced-practice,363A00000X,Y,,Y,Y
1992197255,behavioral-health,101YP2500X,Y,,Y,
1992197495,pharmacy,183500000X,Y,,,
1992198154,physician,2080P0205X,Y,,Y,Y
1992198998,rehab-therapy,235Z00000X,Y,,,
1992199848,dietary,133V00000X,Y,,,
1992201347,behavioral-health,101YP2500X,Y,,Y,Y
1992201693,physician,207V00000X,Y,,Y,Y
1992203822,behavioral-health,106S00000X,Y,,,
1992203921,behavioral-health,106S00000X,Y,,,
1992204028,advanced-practice,363AM0700X,Y,,Y,Y
1992204226,physician,207X00000X,Y,,Y,Y
1992206429,rehab-therapy,2251X0800X,Y,,,
1992206437,physician,208600000X,Y,,,
1992206452,pharmacy,183500000X,Y,,,
1992207831,physician,2083A0300X,Y,,Y,Y
1992208003,nursing,164W00000X,Y,,,
1992208391,behavioral-health,106S00000X,Y,,,
1992208763,student,390200000X,Y,,,
1992209472,physician,207N00000X,Y,,Y,
1992209795,advanced-practice,363LF0000X,Y,,,
1992210041,behavioral-health,106S00000X,Y,,,
